algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug2,with_roads,chrysanthemum,1805,1956,1,115.821000,46.809000,1,1,1.000000,1,9,3,2300
bug-bug2,with_roads,chrysanthemum,1444,193,1,617.832000,71.452000,1,1,1.000000,1,75,25,2300
bug-bug2,with_roads,chrysanthemum,1563,1096,1,990.794000,187.535000,1,1,1.106383,1,104,36,2300
bug-bug2,with_roads,chrysanthemum,65,61,1,86.474000,28.749000,1,1,1.000000,1,12,4,2300
bug-bug2,with_roads,chrysanthemum,206,519,1,488.618000,95.378000,1,1,1.000000,1,54,18,2300
bug-bug2,no_roads,cinnamon_roll,815,128,1,564.898000,54.520000,1,1,1.000000,1,69,23,900
bug-bug2,no_roads,cinnamon_roll,25,331,1,599.314000,87.229000,1,1,1.000000,1,75,25,900
bug-bug2,no_roads,cinnamon_roll,289,264,1,137.292000,42.781000,1,1,1.000000,1,15,5,900
bug-bug2,no_roads,cinnamon_roll,159,117,1,403.342000,46.738000,1,1,1.000000,1,54,18,900
bug-bug2,no_roads,cinnamon_roll,862,709,1,135.403000,42.450000,1,1,1.000000,1,15,5,900
bug-bug2,no_roads,cinnamon_roll,100,760,1,526.642000,56.142000,1,1,1.000000,1,66,22,900
bug-bug2,no_roads,cinnamon_roll,547,32,1,413.519000,62.357000,1,1,1.000000,1,51,17,900
bug-bug2,no_roads,cinnamon_roll,30,106,1,336.458000,45.339000,1,1,1.000000,1,48,16,900
bug-bug2,no_roads,cinnamon_roll,258,276,1,288.246000,45.827000,1,1,1.000000,1,36,12,900
bug-bug2,no_roads,cinnamon_roll,653,773,1,113.995000,37.931000,1,1,1.000000,1,12,4,900
bug-bug2,with_roads,cinnamon_roll,815,128,1,554.410000,53.800000,1,1,1.418605,1,61,23,900
bug-bug2,with_roads,cinnamon_roll,25,331,1,604.065000,86.880000,1,1,1.224138,1,71,25,900
bug-bug2,with_roads,cinnamon_roll,289,264,1,139.461000,43.623000,1,1,1.000000,1,15,5,900
bug-bug2,with_roads,cinnamon_roll,159,117,1,404.510000,46.902000,1,1,1.384615,0,54,18,900
bug-bug2,with_roads,cinnamon_roll,862,709,1,137.431000,43.171000,1,1,1.000000,1,15,5,900
bug-bug2,with_roads,cinnamon_roll,100,760,1,524.849000,60.506000,1,1,1.302326,0,56,22,900
bug-bug2,with_roads,cinnamon_roll,547,32,1,413.383000,60.877000,1,1,1.620690,1,47,17,900
bug-bug2,with_roads,cinnamon_roll,30,106,1,338.692000,46.281000,1,1,1.642857,0,46,16,900
bug-bug2,with_roads,cinnamon_roll,258,276,1,300.512000,51.044000,1,1,1.600000,0,32,12,900
bug-bug2,with_roads,cinnamon_roll,653,773,1,112.434000,38.988000,1,1,1.000000,1,12,4,900
