algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-jps,with_roads,battlebot,277,144,87.7,0,,,
astar-jps,with_roads,battlebot,297,408,105.7,0,,,
astar-jps,with_roads,battlebot,183,559,240.1,0,,,
astar-jps,with_roads,battlebot,597,3,781.8,0,,,
astar-jps,with_roads,battlebot,526,557,72.0,0,,,
astar-jps-dial,with_roads,battlebot,443,79,181.2,0,,,
astar-jps-dial,with_roads,battlebot,12,514,139.2,0,,,
astar-jps-dial,with_roads,battlebot,180,160,39.2,0,,,
astar-jps-dial,with_roads,battlebot,147,96,348.2,0,,,
astar-jps-dial,with_roads,battlebot,511,74,327.3,0,,,
astar-jps-dial,with_roads,battlebot,471,514,42.7,0,,,
astar-jps-dial,with_roads,battlebot,375,66,129.3,0,,,
astar-jps-dial,with_roads,battlebot,409,280,62.8,0,,,
astar-jps-dial,with_roads,battlebot,16,15,31.1,0,,,
astar-jps-dial,with_roads,battlebot,69,143,133.3,0,,,
astar-jps-dial,with_roads,battlebot,154,338,102.1,0,,,
astar-jps-dial,with_roads,battlebot,416,13,783.0,0,,,
astar-jps-dial,with_roads,battlebot,388,130,107.9,0,,,
astar-jps-dial,with_roads,battlebot,496,451,53.9,0,,,
astar-jps-dial,with_roads,battlebot,489,375,140.2,0,,,
astar-jps-dial,with_roads,battlebot,277,144,182.0,0,,,
astar-jps-dial,with_roads,battlebot,297,408,125.9,0,,,
astar-jps-dial,with_roads,battlebot,183,559,187.4,0,,,
astar-jps-dial,with_roads,battlebot,597,3,733.3,0,,,
astar-jps-dial,with_roads,battlebot,526,557,105.8,0,,,
astar-dial-cheb,no_roads,bear_of_doom,268,66,127.3,0,,,
astar-dial-cheb,no_roads,bear_of_doom,21,309,123.5,0,,,
astar-dial-cheb,no_roads,bear_of_doom,140,129,114.0,0,,,
astar-dial-cheb,no_roads,bear_of_doom,120,80,18.4,0,,,
astar-dial-cheb,no_roads,bear_of_doom,308,63,110.7,0,,,
astar-dial-cheb,no_roads,bear_of_doom,285,309,26.9,0,,,
astar-dial-cheb,no_roads,bear_of_doom,383,234,46.7,0,,,
astar-dial-cheb,no_roads,bear_of_doom,54,251,110.5,0,,,
astar-dial-cheb,no_roads,bear_of_doom,192,25,64.9,0,,,
astar-dial-cheb,no_roads,bear_of_doom,24,56,119.1,0,,,
astar-dial-cheb,no_roads,bear_of_doom,118,125,112.0,0,,,
astar-dial-cheb,no_roads,bear_of_doom,218,256,34.3,0,,,
astar-dial-cheb,no_roads,bear_of_doom,21,238,71.6,0,,,
astar-dial-cheb,no_roads,bear_of_doom,110,300,70.8,0,,,
astar-dial-cheb,no_roads,bear_of_doom,273,293,119.4,0,,,
astar-dial-cheb,no_roads,bear_of_doom,234,191,17.7,0,,,
astar-dial-cheb,no_roads,bear_of_doom,119,201,32.1,0,,,
astar-dial-cheb,no_roads,bear_of_doom,248,141,42.0,0,,,
astar-dial-cheb,no_roads,bear_of_doom,339,371,117.8,0,,,
astar-dial-cheb,no_roads,bear_of_doom,5,318,77.3,0,,,
astar-jps,no_roads,bear_of_doom,268,66,151.9,0,,,
astar-jps,no_roads,bear_of_doom,21,309,154.7,0,,,
astar-jps,no_roads,bear_of_doom,140,129,127.9,0,,,
astar-jps,no_roads,bear_of_doom,120,80,29.2,0,,,
astar-jps,no_roads,bear_of_doom,308,63,129.7,0,,,
astar-jps,no_roads,bear_of_doom,285,309,34.6,0,,,
