map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
galaxy,40,40,1600,1442,with_roads,71,astar_w3,3,199.2,969.0,1435.8,313.7,273,1.0055,1.0182,1.3922,0
galaxy,40,40,1600,1442,with_roads,71,astar_w5,5,74.9,360.9,784.0,108.5,85,1.0503,1.2689,1.5882,0
galaxy,40,40,1600,1442,with_roads,71,astar_w_avg,4,127.0,691.3,1002.2,195.8,168,1.0162,1.125,1.4314,0
galaxy,40,40,1600,1442,with_roads,71,astar_w_min,1,451.8,1309.3,1549.2,560.8,556,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,with_roads,71,greedy,0,30.1,63.4,143.2,32.7,23,1.2845,1.9147,3.8235,0
hooks,31,31,961,797,no_roads,0,dial_exact,0,260.0,475.7,642.0,262.4,402,1.0,1.0,1.0,0
hooks,31,31,961,797,no_roads,0,astar_w1,1,272.1,649.6,771.8,302.5,337,1.0,1.0,1.0,0
hooks,31,31,961,797,no_roads,0,astar_w3,3,154.3,488.9,755.9,198.2,209,1.0,1.0,1.0,0
hooks,31,31,961,797,no_roads,0,astar_w5,5,71.8,272.6,444.5,91.5,85,1.0,1.0,1.0,0
hooks,31,31,961,797,no_roads,0,astar_w_avg,5,70.1,270.2,435.5,91.4,85,1.0,1.0,1.0,0
hooks,31,31,961,797,no_roads,0,astar_w_min,5,68.2,255.8,436.2,90.8,85,1.0,1.0,1.0,0
hooks,31,31,961,797,no_roads,0,greedy,0,24.0,55.5,85.8,25.9,24,1.1583,1.469,1.8248,0
hooks,31,31,961,797,with_roads,58,dial_exact,0,271.1,478.7,549.8,259.4,404,1.0,1.0,1.0,0
hooks,31,31,961,797,with_roads,58,astar_w1,1,243.4,603.6,695.8,272.7,305,1.0,1.0,1.0,0
hooks,31,31,961,797,with_roads,58,astar_w3,3,113.1,375.9,559.6,142.4,145,1.005,1.0442,1.1739,0
hooks,31,31,961,797,with_roads,58,astar_w5,5,48.3,175.8,421.1,66.4,59,1.0519,1.2535,1.3889,0
hooks,31,31,961,797,with_roads,58,astar_w_avg,4,74.9,245.4,527.9,94.3,94,1.0182,1.1212,1.2566,0
hooks,31,31,961,797,with_roads,58,astar_w_min,1,251.1,600.6,715.5,273.7,305,1.0,1.0,1.0,0
